"Checked"	"Protein Groups Protein Group ID"	"# Proteins"	"# Unique Peptides"	"# Peptides"	"# PSMs"	"Group Description"	"Found in Sample: F1: Sample"	"Found in Sample: F2: Sample"	"Found in Sample: F3: Sample"	"Found in Sample: F4: Sample"	"Found in Sample: F5: Sample"	"Found in Sample: F6: Sample"	"Found in Sample: F7: Sample"	"Found in Sample: F8: Sample"	"Found in Sample: F9: Sample"	"Found in Sample: F10: Sample"	"Found in Sample: F11: Sample"	"Found in Sample: F12: Sample"	"Found in Sample: F13: Sample"	"Found in Sample: F14: Sample"	"Found in Sample: F15: Sample"	"Found in Sample: F16: Sample"	"Found in Sample: F17: Sample"	"Found in Sample: F18: Sample"	"Found in Sample: F19: Sample"	"Found in Sample: F20: Sample"	"Found in Sample: F41: Sample"	"Found in Sample: F42: Sample"	"Found in Sample: F43: Sample"	"Found in Sample: F44: Sample"
"False"	"5395"	"1"	"18"	"19"	"44"	"[Master Protein] Microtubule-associated protein 1A OS=Homo sapiens OX=9606 GN=MAP1A PE=1 SV=6"	"n/a"	"n/a"	"n/a"	"High"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"High"	"Peak Found"	"High"	"High"
"False"	"3074"	"1"	"18"	"18"	"765"	"[Master Protein] 40S ribosomal protein S3 OS=Homo sapiens OX=9606 GN=RPS3 PE=1 SV=2"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"False"	"2185"	"1"	"18"	"18"	"596"	"[Master Protein] Prohibitin-2 OS=Homo sapiens OX=9606 GN=PHB2 PE=1 SV=2"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"False"	"1949"	"1"	"18"	"18"	"498"	"[Master Protein] Peroxiredoxin-6 OS=Homo sapiens OX=9606 GN=PRDX6 PE=1 SV=3"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"False"	"5901"	"1"	"18"	"18"	"469"	"[Master Protein] Calreticulin OS=Homo sapiens OX=9606 GN=CALR PE=1 SV=1"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"False"	"5396"	"1"	"18"	"18"	"467"	"[Master Protein] 6-phosphogluconate dehydrogenase, decarboxylating OS=Homo sapiens OX=9606 GN=PGD PE=1 SV=3"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"False"	"1177"	"1"	"18"	"18"	"447"	"[Master Protein] Apoptosis inhibitor 5 OS=Homo sapiens OX=9606 GN=API5 PE=1 SV=3"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"False"	"256"	"1"	"18"	"18"	"443"	"[Master Protein] U1 small nuclear ribonucleoprotein 70 kDa OS=Homo sapiens OX=9606 GN=SNRNP70 PE=1 SV=2"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"False"	"2554"	"1"	"18"	"18"	"397"	"[Master Protein] Bifunctional phosphoribosylaminoimidazole carboxylase/phosphoribosylaminoimidazole succinocarboxamide synthetase OS=Homo sapiens OX=9606 GN=PAICS PE=1 SV=3"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"False"	"5542"	"1"	"18"	"18"	"376"	"[Master Protein] Receptor of activated protein C kinase 1 OS=Homo sapiens OX=9606 GN=RACK1 PE=1 SV=3"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"False"	"1393"	"2"	"18"	"18"	"302"	"[Master Protein] Annexin A11 OS=Homo sapiens OX=9606 GN=ANXA11 PE=1 SV=1"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"False"	"4355"	"1"	"18"	"18"	"292"	"[Master Protein] Trifunctional enzyme subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=HADHB PE=1 SV=3"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"False"	"3018"	"1"	"18"	"18"	"255"	"[Master Protein] FACT complex subunit SSRP1 OS=Homo sapiens OX=9606 GN=SSRP1 PE=1 SV=1"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"False"	"4154"	"1"	"18"	"18"	"250"	"[Master Protein] Eukaryotic translation initiation factor 3 subunit G OS=Homo sapiens OX=9606 GN=EIF3G PE=1 SV=2"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"False"	"1057"	"2"	"18"	"18"	"234"	"[Master Protein] Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial OS=Homo sapiens OX=9606 GN=PDHA1 PE=1 SV=3"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"False"	"4371"	"1"	"18"	"18"	"232"	"[Master Protein] Serine-threonine kinase receptor-associated protein OS=Homo sapiens OX=9606 GN=STRAP PE=1 SV=1"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"False"	"5061"	"1"	"18"	"18"	"230"	"[Master Protein] Calumenin OS=Homo sapiens OX=9606 GN=CALU PE=1 SV=2"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"False"	"1751"	"1"	"18"	"18"	"203"	"[Master Protein] Alpha-aminoadipic semialdehyde dehydrogenase OS=Homo sapiens OX=9606 GN=ALDH7A1 PE=1 SV=5"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"Peak Found"
"False"	"4153"	"1"	"18"	"18"	"197"	"[Master Protein] 26S proteasome non-ATPase regulatory subunit 13 OS=Homo sapiens OX=9606 GN=PSMD13 PE=1 SV=2"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"False"	"3645"	"1"	"18"	"18"	"185"	"[Master Protein] Asparagine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=NARS1 PE=1 SV=1"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"False"	"3536"	"1"	"18"	"18"	"168"	"[Master Protein] Calcium-binding mitochondrial carrier protein SCaMC-1 OS=Homo sapiens OX=9606 GN=SLC25A24 PE=1 SV=2"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"False"	"1571"	"1"	"18"	"18"	"167"	"[Master Protein] AP-2 complex subunit mu OS=Homo sapiens OX=9606 GN=AP2M1 PE=1 SV=2"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"
"False"	"483"	"1"	"18"	"18"	"152"	"[Master Protein] 26S proteasome regulatory subunit 6A OS=Homo sapiens OX=9606 GN=PSMC3 PE=1 SV=3"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"False"	"4149"	"1"	"18"	"18"	"143"	"[Master Protein] Pescadillo homolog OS=Homo sapiens OX=9606 GN=PES1 PE=1 SV=1"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"False"	"5209"	"1"	"18"	"18"	"128"	"[Master Protein] Eukaryotic translation initiation factor 5 OS=Homo sapiens OX=9606 GN=EIF5 PE=1 SV=2"	"High"	"High"	"Peak Found"	"High"	"High"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"
"False"	"5487"	"2"	"18"	"18"	"128"	"[Master Protein] Pre-mRNA-processing factor 40 homolog A OS=Homo sapiens OX=9606 GN=PRPF40A PE=1 SV=2"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"High"	"High"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"
"False"	"1382"	"1"	"18"	"18"	"123"	"[Master Protein] Calcium homeostasis endoplasmic reticulum protein OS=Homo sapiens OX=9606 GN=CHERP PE=1 SV=3"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"False"	"3722"	"1"	"18"	"18"	"123"	"[Master Protein] Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Homo sapiens OX=9606 GN=AHSA1 PE=1 SV=1"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"Peak Found"	"Peak Found"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"
"False"	"4796"	"1"	"18"	"18"	"123"	"[Master Protein] NADPH:adrenodoxin oxidoreductase, mitochondrial OS=Homo sapiens OX=9606 GN=FDXR PE=1 SV=3"	"High"	"n/a"	"High"	"High"	"High"	"High"	"n/a"	"High"	"High"	"n/a"	"High"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"False"	"3704"	"1"	"18"	"18"	"109"	"[Master Protein] Protein SGT1 homolog OS=Homo sapiens OX=9606 GN=SUGT1 PE=1 SV=3"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"False"	"4261"	"1"	"18"	"18"	"109"	"[Master Protein] Signal recognition particle 54 kDa protein OS=Homo sapiens OX=9606 GN=SRP54 PE=1 SV=1"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"False"	"5568"	"1"	"18"	"18"	"103"	"[Master Protein] 5'-3' exoribonuclease 2 OS=Homo sapiens OX=9606 GN=XRN2 PE=1 SV=1"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"	"High"
"False"	"4238"	"1"	"18"	"18"	"101"	"[Master Protein] U4/U6 small nuclear ribonucleoprotein Prp3 OS=Homo sapiens OX=9606 GN=PRPF3 PE=1 SV=2"	"Peak Found"	"High"	"High"	"High"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"	"High"
"False"	"1020"	"1"	"18"	"18"	"100"	"[Master Protein] Ribosome biogenesis protein BOP1 OS=Homo sapiens OX=9606 GN=BOP1 PE=1 SV=2"	"High"	"n/a"	"n/a"	"Peak Found"	"Peak Found"	"n/a"	"n/a"	"High"	"Peak Found"	"Peak Found"	"n/a"	"High"	"Peak Found"	"n/a"	"High"	"Peak Found"	"Peak Found"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"
"False"	"4274"	"1"	"18"	"18"	"97"	"[Master Protein] Nucleolar complex protein 2 homolog OS=Homo sapiens OX=9606 GN=NOC2L PE=1 SV=4"	"High"	"Peak Found"	"n/a"	"Peak Found"	"Peak Found"	"n/a"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"High"	"High"	"High"	"High"
"False"	"4137"	"1"	"18"	"18"	"89"	"[Master Protein] RNA polymerase-associated protein RTF1 homolog OS=Homo sapiens OX=9606 GN=RTF1 PE=1 SV=4"	"Peak Found"	"High"	"High"	"High"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"
"False"	"1727"	"1"	"18"	"18"	"87"	"[Master Protein] DBIRD complex subunit ZNF326 OS=Homo sapiens OX=9606 GN=ZNF326 PE=1 SV=2"	"Peak Found"	"High"	"Peak Found"	"High"	"High"	"n/a"	"n/a"	"n/a"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"High"	"High"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"
"False"	"4682"	"1"	"18"	"18"	"82"	"[Master Protein] Pumilio homolog 3 OS=Homo sapiens OX=9606 GN=PUM3 PE=1 SV=3"	"High"	"High"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"
"False"	"2825"	"1"	"18"	"18"	"80"	"[Master Protein] U4/U6 small nuclear ribonucleoprotein Prp4 OS=Homo sapiens OX=9606 GN=PRPF4 PE=1 SV=2"	"Peak Found"	"Peak Found"	"n/a"	"High"	"Peak Found"	"n/a"	"n/a"	"n/a"	"High"	"n/a"	"Peak Found"	"High"	"n/a"	"n/a"	"Peak Found"	"n/a"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"
"False"	"3737"	"1"	"18"	"18"	"80"	"[Master Protein] Tubulin-specific chaperone D OS=Homo sapiens OX=9606 GN=TBCD PE=1 SV=2"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"High"	"Peak Found"	"High"	"High"	"High"	"n/a"	"High"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"	"High"
"False"	"4020"	"1"	"18"	"18"	"80"	"[Master Protein] Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 OS=Homo sapiens OX=9606 GN=PLOD1 PE=1 SV=2"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"
"False"	"4366"	"1"	"18"	"18"	"80"	"[Master Protein] Protein PML OS=Homo sapiens OX=9606 GN=PML PE=1 SV=3"	"Peak Found"	"n/a"	"Peak Found"	"High"	"Peak Found"	"n/a"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"
"False"	"4625"	"1"	"18"	"18"	"72"	"[Master Protein] Protein Niban 2 OS=Homo sapiens OX=9606 GN=NIBAN2 PE=1 SV=3"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"n/a"	"Peak Found"	"n/a"	"Peak Found"	"n/a"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"n/a"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"
"False"	"1668"	"1"	"18"	"18"	"68"	"[Master Protein] Cullin-3 OS=Homo sapiens OX=9606 GN=CUL3 PE=1 SV=2"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"	"High"
"False"	"4022"	"1"	"18"	"18"	"68"	"[Master Protein] RNA-binding protein 12B OS=Homo sapiens OX=9606 GN=RBM12B PE=1 SV=2"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"n/a"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"
"False"	"1478"	"1"	"18"	"18"	"67"	"[Master Protein] Elongator complex protein 2 OS=Homo sapiens OX=9606 GN=ELP2 PE=1 SV=2"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"	"High"
"False"	"317"	"1"	"18"	"18"	"66"	"[Master Protein] Signal transducer and activator of transcription 3 OS=Homo sapiens OX=9606 GN=STAT3 PE=1 SV=2"	"n/a"	"Peak Found"	"Peak Found"	"n/a"	"n/a"	"n/a"	"Peak Found"	"n/a"	"n/a"	"n/a"	"Peak Found"	"n/a"	"Peak Found"	"n/a"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"
"False"	"666"	"1"	"18"	"18"	"66"	"[Master Protein] Nucleolar protein 6 OS=Homo sapiens OX=9606 GN=NOL6 PE=1 SV=2"	"Peak Found"	"n/a"	"n/a"	"n/a"	"Peak Found"	"n/a"	"Peak Found"	"Peak Found"	"n/a"	"n/a"	"n/a"	"Peak Found"	"n/a"	"n/a"	"Peak Found"	"n/a"	"Peak Found"	"n/a"	"n/a"	"Peak Found"	"High"	"High"	"High"	"High"
"False"	"718"	"1"	"18"	"18"	"64"	"[Master Protein] WD repeat-containing protein 44 OS=Homo sapiens OX=9606 GN=WDR44 PE=1 SV=1"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"High"	"n/a"	"n/a"	"Peak Found"	"High"	"High"	"High"	"High"
"False"	"2370"	"1"	"18"	"18"	"58"	"[Master Protein] Signal recognition particle receptor subunit alpha OS=Homo sapiens OX=9606 GN=SRPRA PE=1 SV=2"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"
"False"	"12"	"1"	"18"	"18"	"56"	"[Master Protein] pre-mRNA 3' end processing protein WDR33 OS=Homo sapiens OX=9606 GN=WDR33 PE=1 SV=2"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"n/a"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"n/a"	"Peak Found"	"Peak Found"	"n/a"	"n/a"	"High"	"Peak Found"	"High"	"High"	"High"	"High"
"False"	"4614"	"1"	"18"	"18"	"55"	"[Master Protein] Long-chain fatty acid transport protein 2 OS=Homo sapiens OX=9606 GN=SLC27A2 PE=1 SV=2"	"Peak Found"	"n/a"	"Peak Found"	"Peak Found"	"n/a"	"Peak Found"	"n/a"	"n/a"	"Peak Found"	"n/a"	"Peak Found"	"Peak Found"	"Peak Found"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"Peak Found"	"n/a"	"High"	"High"	"Peak Found"	"High"
"False"	"3428"	"1"	"18"	"18"	"54"	"[Master Protein] Translocation protein SEC63 homolog OS=Homo sapiens OX=9606 GN=SEC63 PE=1 SV=2"	"Peak Found"	"High"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"Peak Found"
"False"	"1867"	"1"	"18"	"18"	"53"	"[Master Protein] RING-type E3 ubiquitin-protein ligase PPIL2 OS=Homo sapiens OX=9606 GN=PPIL2 PE=1 SV=1"	"n/a"	"n/a"	"n/a"	"n/a"	"Peak Found"	"n/a"	"n/a"	"n/a"	"Peak Found"	"n/a"	"Peak Found"	"n/a"	"n/a"	"Peak Found"	"Peak Found"	"n/a"	"n/a"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"
"False"	"2880"	"1"	"18"	"18"	"49"	"[Master Protein] Rab3 GTPase-activating protein catalytic subunit OS=Homo sapiens OX=9606 GN=RAB3GAP1 PE=1 SV=3"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"n/a"	"Peak Found"	"High"	"High"	"High"	"High"
"False"	"662"	"3"	"18"	"18"	"48"	"[Master Protein] RUN and FYVE domain-containing protein 1 OS=Homo sapiens OX=9606 GN=RUFY1 PE=1 SV=2"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"Peak Found"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"
"False"	"4596"	"1"	"18"	"18"	"46"	"[Master Protein] Nibrin OS=Homo sapiens OX=9606 GN=NBN PE=1 SV=1"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"n/a"	"n/a"	"Peak Found"	"Peak Found"	"n/a"	"n/a"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"n/a"	"Peak Found"	"n/a"	"High"	"High"	"High"	"High"
"False"	"3804"	"1"	"18"	"18"	"39"	"[Master Protein] Probable ATP-dependent RNA helicase DDX10 OS=Homo sapiens OX=9606 GN=DDX10 PE=1 SV=2"	"Peak Found"	"Peak Found"	"n/a"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"n/a"	"Peak Found"	"Peak Found"	"n/a"	"n/a"	"Peak Found"	"Peak Found"	"Peak Found"	"n/a"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"
"False"	"3115"	"1"	"17"	"29"	"178"	"[Master Protein] Cullin-4B OS=Homo sapiens OX=9606 GN=CUL4B PE=1 SV=4"	"Peak Found"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"False"	"3570"	"1"	"17"	"29"	"129"	"[Master Protein] Cullin-4A OS=Homo sapiens OX=9606 GN=CUL4A PE=1 SV=3"	"n/a"	"n/a"	"n/a"	"High"	"n/a"	"Peak Found"	"n/a"	"Peak Found"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"Peak Found"	"n/a"	"n/a"	"High"	"High"	"High"	"High"
"False"	"2315"	"2"	"17"	"25"	"358"	"[Master Protein] Polyadenylate-binding protein 4 OS=Homo sapiens OX=9606 GN=PABPC4 PE=1 SV=1"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"False"	"4067"	"1"	"17"	"22"	"661"	"[Master Protein] T-complex protein 1 subunit zeta OS=Homo sapiens OX=9606 GN=CCT6A PE=1 SV=3"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"False"	"5779"	"1"	"17"	"20"	"827"	"[Master Protein] 14-3-3 protein epsilon OS=Homo sapiens OX=9606 GN=YWHAE PE=1 SV=1"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"False"	"4057"	"1"	"17"	"20"	"160"	"[Master Protein] ATP-dependent RNA helicase DDX50 OS=Homo sapiens OX=9606 GN=DDX50 PE=1 SV=1"	"High"	"High"	"Peak Found"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"High"	"High"	"Peak Found"	"High"	"High"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
